cell_type,Airway_wall
Secretory,0.1963350785340314
Fibroblast,16.112565445026178
Macrophage,23.651832460732987
Endothelial,18.62129144851658
T cell,5.780977312390926
Basal,0.09598603839441536
Ciliated,0.06544502617801047
DC,3.9703315881326353
B cell,3.743455497382199
Pericyte,5.479930191972077
Myofibroblast,6.156195462478185
SMC,4.066317626527051
Plasma,4.157940663176266
Monocyte,3.4336823734729496
AT2,1.9851657940663177
Mast,1.780104712041885
Mesothelial,0.004363001745200698
AT1,0.38830715532286214
Proliferating - Epi,0.11780104712041885
NK,0.06980802792321117
PNEC,0.09162303664921466
Prolif_Imm,0.03054101221640489
