cell_id,x_centroid,y_centroid,annotation,ECM_score,ECM_score_niche_id
aaaacnmp-1,761.95703125,4471.025390625,Macrophage,1.455765333687554,0
aaaadehg-1,764.447509765625,4486.384765625,Plasma,0.0,0
aaaaglfk-1,751.340576171875,4525.884765625,Macrophage,0.0,0
aaaajaif-1,745.3565673828125,4549.67578125,Plasma,0.0,0
aaaappch-1,739.9590454101562,4545.03515625,Plasma,0.0,0
aaabhlnn-1,763.197998046875,4525.63818359375,Macrophage,0.0,0
aaabpkef-1,770.159423828125,4549.021484375,T cell,0.0,0
aaaceamb-1,766.2154541015625,4530.669921875,DC,0.0,0
aaadbnfb-1,770.6695556640625,4541.583984375,T cell,0.0,0
aaadlceo-1,764.532470703125,4720.1357421875,Macrophage,0.2434596598188996,0
aaaeflhl-1,764.7789916992188,4733.06396484375,Endothelial,1.1128041728278035,0
aaaehdok-1,758.5059204101562,4728.17578125,AT2,0.36008797071537374,0
aaafdmlo-1,765.6375732421875,4810.93212890625,T cell,0.0,0
aaafihhp-1,766.2921142578125,4802.61083984375,Macrophage,0.0,0
aaakcbmo-1,773.7720336914062,4650.31640625,Monocyte,0.0,0
aaaljflp-1,780.2999877929688,4653.8603515625,Fibroblast,0.5489316046054584,0
aaalojid-1,772.8624267578125,4610.23876953125,T cell,0.6106556540629334,0
aaalpicb-1,778.2770385742188,4597.25927734375,DC,0.0,0
aaanbmid-1,783.76806640625,4626.51611328125,Macrophage,0.0,0
aaaocfmm-1,776.1945190429688,4559.83349609375,Pericyte,0.6431833165132621,0
aaaohlck-1,771.2474975585938,4564.7041015625,T cell,0.9009790549621305,0
aaaoidaf-1,777.9880981445312,4549.166015625,DC,0.9707399864426698,0
aaapacdj-1,776.04150390625,4554.24072265625,T cell,0.6599484494049426,0
aaapdlmk-1,756.5000610351562,4563.1064453125,T cell,0.0,0
aabfihhc-1,770.27001953125,4638.1611328125,Macrophage,0.0,0
aabhfabk-1,767.0570068359375,4612.81396484375,Fibroblast,1.0409330158765207,0
aabieojp-1,768.6294555664062,4605.44482421875,Fibroblast,0.6723694168358598,0
aabimjih-1,761.7274780273438,4615.20263671875,Plasma,0.27508245203707077,0
aabjcbhn-1,768.3660888671875,4600.1748046875,DC,0.2874810763050688,0
aabjmmke-1,740.1885375976562,4585.6396484375,Endothelial,1.1826602484883817,0
aablbnmb-1,737.613037109375,4590.61181640625,T cell,1.0036542494873006,0
aabmcekm-1,839.2390747070312,5593.8837890625,Plasma,0.0,0
aabnbadi-1,857.029541015625,5651.5224609375,DC,0.33996755131754935,0
aabndeip-1,863.7190551757812,5632.78857421875,Macrophage,0.0,0
aabnplid-1,830.9260864257812,5586.625,Macrophage,0.36568271182852147,0
aabolphf-1,864.6795043945312,5358.46826171875,Macrophage,0.0,0
aacagknc-1,850.87548828125,5986.796875,B cell,0.0,0
aacahiaj-1,831.614501953125,6087.904296875,T cell,0.3003263516540435,0
aacbgoli-1,856.2560424804688,6218.71142578125,T cell,0.3022756230134482,0
aacbhelk-1,849.9660034179688,6144.74365234375,T cell,0.3022756230134482,0
aaceijfj-1,851.2324829101562,6047.291015625,T cell,0.0,0
aacemmpa-1,863.4384155273438,6040.482421875,T cell,0.5845671463133234,0
aacgddcm-1,834.3599853515625,6000.2861328125,DC,0.0,0
aacgjfbh-1,829.761474609375,6007.95263671875,T cell,0.2914550240356958,0
aachbkli-1,829.2090454101562,5683.43994140625,T cell,0.6045512460268964,0
aaciccep-1,831.3595581054688,5678.375,Macrophage,0.6388871866304958,0
aacikbfj-1,819.33203125,5967.0087890625,T cell,0.31812751691051266,0
aacjalfa-1,848.333984375,5960.14013671875,T cell,0.570442526810336,0
aacjhnla-1,852.9664916992188,5953.55322265625,T cell,0.31195911223876915,0
aackiiak-1,834.9720458984375,5960.28515625,Fibroblast,0.58055757779788,0
aackkaib-1,852.7880249023438,5891.40869140625,T cell,0.0,0
aaclacgo-1,863.2345581054688,5781.0712890625,DC,0.0,0
aacolcdj-1,862.2654418945312,5798.44482421875,T cell,0.6388871866304958,0
aacpihjp-1,863.1325073242188,5686.19384765625,T cell,0.27508245203707077,0
aadcaejc-1,740.3074340820312,6023.32958984375,Plasma,0.27508245203707077,0
aadcagkn-1,815.75341796875,6110.412109375,T cell,0.0,0
aaddecan-1,811.5884399414062,6217.1806640625,T cell,0.28448717099714577,0
aaddgimn-1,815.2689819335938,6118.2919921875,DC,0.0,0
aaddiioj-1,813.7730712890625,6044.6904296875,B cell,0.29844034609069414,0
aaddpnlm-1,816.2550659179688,6066.611328125,T cell,0.2939770382987706,0
aadfdgmk-1,817.2326049804688,6051.31103515625,T cell,0.32079006104116337,0
aadffdlc-1,804.2445068359375,6046.18603515625,Plasma,0.2510949081619826,0
aadfnjol-1,807.8995361328125,6023.771484375,Plasma,0.27892735665685586,0
aadhidjl-1,809.9735107421875,6036.4619140625,Plasma,0.0,0
aadibgom-1,734.2130737304688,6080.10986328125,Plasma,0.29312412772460916,0
aadiiccj-1,725.8914794921875,6050.58935546875,T cell,0.0,0
aadinlma-1,761.39599609375,6213.3466796875,T cell,0.644004588933053,0
aadioode-1,780.1470947265625,6199.517578125,B cell,0.0,0
aadjadhf-1,766.1475219726562,6206.95556640625,DC,0.5133347613323677,0
aadkghjf-1,729.3680419921875,6174.41748046875,B cell,0.3303924391942668,0
aadligfe-1,720.5025634765625,6199.9345703125,DC,0.47798859251615083,0
aadndlmo-1,781.2945556640625,6134.6962890625,B cell,0.0,0
aadocobc-1,774.4180297851562,6131.82373046875,T cell,0.0,0
aadofiep-1,762.97705078125,6124.4287109375,T cell,0.3003263516540435,0
aadoggcb-1,756.8570556640625,6116.13330078125,DC,0.0,0
aadpbmhf-1,738.8795166015625,6122.5419921875,DC,0.27147767746125057,0
aadpceip-1,732.6915893554688,6126.1376953125,T cell,0.0,0
aadpfeel-1,725.2454833984375,6121.734375,T cell,0.30745539986401443,0
aadpfkjj-1,617.7969360351562,6197.46923828125,Macrophage,0.27761708488337583,0
aaebfpbd-1,619.8370361328125,6224.78759765625,B cell,0.0,0
aaeckjdf-1,642.1495361328125,6237.9375,DC,0.2769729241145693,0
aaeeahfo-1,646.6034545898438,6255.8212890625,B cell,0.0,0
aaeecccm-1,657.9085083007812,6243.3349609375,T cell,0.6336809915083406,0
aaeglgcp-1,707.3699951171875,6114.31298828125,B cell,1.4318650561094675,0
aaeiibni-1,685.508056640625,6105.439453125,T cell,0.2966136510693091,0
aaelddnf-1,806.4714965820312,5638.62890625,Macrophage,1.5800736369152568,0
aaelhoph-1,814.6654663085938,5585.32421875,T cell,0.0,0
aaeljfdn-1,814.8269653320312,5679.51318359375,Macrophage,0.22298587619747923,0
aaemikap-1,806.4375610351562,5646.80517578125,Fibroblast,1.5422265270013962,0
aaemiolf-1,745.2374877929688,5984.85791015625,T cell,0.0,0
